headturn,subj,00,22,02,44,04
2,34,0,0,-1,1,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,1,1,1,0,0
2,38,-1,-1,-1,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
3,1,1,0,0,-1,0
3,2,0,0,0,-1,1
3,3,0,1,0,0,1
3,4,0,0,0,-1,0
3,5,0,0,0,0,0
3,6,0,0,0,-1,1
3,7,0,0,0,0,0
3,8,0,1,1,-2,2
3,9,1,1,1,0,2
3,10,0,0,0,-1,0
3,11,1,1,0,-1,0
3,12,0,-1,0,0,2
3,13,0,0,0,0,-2
3,14,0,0,0,-1,0
3,15,0,0,0,0,1
3,16,0,0,-1,1,-1
3,17,0,0,0,0,0
3,18,-1,0,2,0,1
3,19,0,0,0,0,1
3,20,-1,-1,0,-1,0
3,21,0,0,1,0,1
3,22,0,1,1,0,1
3,23,0,-1,0,0,0
3,24,0,0,0,0,0
3,25,1,0,0,1,0
3,26,0,0,0,0,0
3,27,0,0,0,0,0
3,28,1,1,0,0,1
3,29,0,0,0,1,-2
3,30,0,0,0,0,1
3,31,0,0,0,0,0
3,32,0,0,0,0,0
3,33,0,0,0,-1,1
3,34,0,0,0,1,0
3,35,0,0,0,0,1
3,36,0,0,0,0,0
3,37,0,1,1,0,1
3,38,-1,0,0,0,1
3,39,0,0,0,-1,0
3,40,0,0,0,0,1
4,1,1,0,-1,0,0
4,2,0,0,0,0,0
4,3,0,0,0,0,-1
4,4,0,0,0,0,0
4,5,0,0,0,0,0
4,6,0,0,0,0,0
4,7,0,0,0,0,0
4,8,2,0,0,-1,1
4,9,0,0,0,0,0
4,10,0,0,0,0,0
4,11,0,1,0,0,0
4,12,0,-1,0,0,1
4,13,0,0,0,0,0
4,14,0,0,0,0,0
4,15,0,0,0,0,0
4,16,2,-1,1,2,0
4,17,0,0,0,0,0
4,18,-1,0,1,0,1
4,19,0,0,0,0,0
4,20,0,-1,0,0,-1
4,21,0,0,0,0,0
4,22,0,0,0,0,0
4,23,0,0,0,1,0
4,24,1,0,1,0,0
4,25,0,0,0,1,-1
4,26,0,0,0,0,0
4,27,0,0,0,0,0
4,28,1,1,1,1,1
4,29,0,0,0,0,0
4,30,0,0,0,0,0
4,31,0,0,0,0,0
4,32,0,1,0,0,0
4,33,0,0,1,0,0
4,34,0,0,0,1,0
4,35,0,1,0,1,1
4,36,0,0,0,0,0
4,37,1,1,1,1,1
4,38,-1,0,0,1,0
4,39,0,0,0,0,0
4,40,0,1,0,1,1
5,1,1,1,1,-1,2
5,2,0,1,0,-1,3
5,3,1,2,-1,-1,3
5,4,0,0,0,-1,1
5,5,1,0,1,0,1
5,6,0,0,0,-1,2
5,7,0,0,0,-1,1
5,8,1,1,2,-2,2
5,9,2,2,2,1,3
5,10,0,0,0,-1,2
5,11,1,2,1,-1,1
5,12,0,-2,0,-1,2
5,13,1,1,0,0,2
5,14,0,0,0,-1,0
5,15,0,0,-1,-2,0
5,16,2,1,-1,2,1
5,17,0,0,1,0,2
5,18,-1,0,1,2,2
5,19,0,0,0,-2,0
5,20,0,-1,0,-1,1
5,21,1,0,1,0,1
5,22,1,0,0,0,1
5,23,0,0,0,-1,1
5,24,1,0,1,0,1
5,25,1,1,0,-1,1
5,26,1,1,1,0,1
5,27,0,0,0,0,2
5,28,0,1,1,0,2
5,29,0,0,0,1,2
5,30,1,2,1,0,3
5,31,0,0,0,-1,1
5,32,0,0,-1,-1,1
5,33,0,0,0,-1,2
5,34,1,2,2,1,2
5,35,0,0,0,0,1
5,36,0,0,0,0,0
5,37,0,0,0,-1,1
5,38,0,0,1,0,2
5,39,0,0,0,0,1
5,40,0,0,0,-1,1
